weekDay,consumption
1,0.2674373
2,21.229095
3,18.2653363
4,24.1258349
5,28.2774778
6,50.5976197
7,15.4352528
1,0.3802351
2,33.3937308
3,14.783845
4,16.0999823
5,20.1269891
6,16.7147776
7,14.2876097
1,5.9565079
2,28.166318
3,14.0123686
4,43.6889798
5,52.7034858
6,13.21168
7,20.0583417
7,7.02074
1,0.281189
2,0.3003115
3,0.4256259
4,0.3789674
5,0.2918113
6,0.1699109
1,0.3167527
2,0.2224166
3,1.9465015
4,68.372277
5,6.4308668
6,3.0666263
7,0.2978859
1,4.0954304
2,3.5315877
3,0.2952795
4,0.2931741
5,0.293347
6,10.29877
7,4.1629063
1,0.1059003
2,6.2262781
3,0.2704509
4,0.3636646
7,0.2927379
